Date,Portfolio Value,Rebalance,Trade Cost EUR,Selected ETFs,N ETFs,Weight XEON,Regime,Reason
2013-08-01,9997959.14,True,2040.86,"IWDA.L, VGK, EWJ, EWT, XLY, XLF, KBE, XLI, ITB, XLV, XLP, XLK, SOXX, VNQ, TLT, IEF, HYG, LQD, EMB",19,0.0,normal,"rebalance: EWJ peso=0.0000 fuera de [0.0764, 0.1164]"
2013-08-30,9608586.23,True,1903.94,"IWDA.L, VGK, EWJ, EWT, EWY, XLY, XLF, KBE, XOP, XLI, XLV, XBI, XLP, XLU, SOXX",15,0.0,normal,"rebalance: EWJ peso=0.0950 fuera de [0.0267, 0.0667]"
2013-09-30,9903464.96,True,1661.21,"IWDA.L, VGK, EWJ, EWT, EWY, XLY, XLF, KBE, XLE, XLI, XLB, XLV, XBI, XLP, XLU, XLK, IGV, GLD, SLV, HYG",20,0.0,normal,"rebalance: GLD peso=0.0000 fuera de [0.0163, 0.0563]"
2013-10-31,10047626.68,True,2243.57,"IWDA.L, VGK, EWJ, MCHI, EWY, XLY, KBE, XLI, XLB, XBI, XLU, SOXX, IGV, LIT",14,0.0025,normal,"rebalance: EWJ peso=0.0463 fuera de [0.0858, 0.1258]"
2013-11-29,10410562.98,True,2516.16,"IWDA.L, VGK, EWY, XLY, KBE, XOP, XLI, XLB, XLV, XLK, SOXX",11,0.0097,normal,"rebalance: EWJ peso=0.1043 fuera de [0.0000, 0.0200]"
2013-12-31,10490709.88,True,2488.43,"IWDA.L, VGK, EWJ, IEMA.L, MCHI, EWY, XLY, KBE, XLI, IYT, XLV, XBI, XLK, IGV, HYG",15,0.0,normal,"rebalance: EWJ peso=0.0000 fuera de [0.0766, 0.1166]"
2014-01-31,10326569.21,True,2354.82,"IWDA.L, VGK, EWY, XLY, XLI, IYT, XLB, ITB, XLV, XLK, SOXX, IGV, HYG",13,0.0,normal,"rebalance: EWJ peso=0.0933 fuera de [0.0000, 0.0200]"
2014-02-28,10752300.49,True,1637.3,"IWDA.L, VGK, EWY, XLI, IYT, XLB, ITB, XLV, XBI, XLK, SOXX, IGV, TLT, IEF, HYG, LQD",16,0.0,normal,"rebalance: EWY peso=0.1253 fuera de [0.0440, 0.0840]"
2014-03-31,10582382.62,True,2390.72,"IWDA.L, VGK, INDA, XLI, XLB, ITB, XLV, XBI, XLU, XLK, SOXX, IGV, VNQ, LIT, DBA, TLT",16,0.0,normal,"rebalance: DBA peso=0.0000 fuera de [0.0644, 0.1044]"
2014-04-30,10538947.37,True,2205.21,"IWDA.L, VGK, INDA, XLF, KBE, XLI, IYT, XLB, XLV, XLU, XLK, SOXX, DBA, TLT, LQD, EMB",16,0.0,normal,"rebalance: EMB peso=0.0000 fuera de [0.0147, 0.0547]"
2014-05-30,10909977.84,True,1398.5,"IWDA.L, VGK, INDA, XLE, XOP, XLI, IYT, XLB, XLV, XLU, XLK, SOXX, VNQ, DBA, TLT, LQD",16,0.0,normal,"rebalance: EMB peso=0.0352 fuera de [0.0000, 0.0200]"
2014-06-30,11117008.76,True,2046.5,"IWDA.L, VGK, INDA, EWT, XLE, XOP, IYT, XLB, XLV, XLU, XLK, SOXX, VNQ, DBA, COPX, TLT, EMB",17,0.0,normal,"rebalance: COPX peso=0.0000 fuera de [0.0271, 0.0671]"
2014-07-31,11108092.91,True,1619.71,"INDA, EWT, XLE, XOP, IYT, XLV, XBI, XLU, XLK, SOXX, VNQ, DBA, COPX, TLT, EMB",15,0.0,normal,"rebalance: IWDA.L peso=0.0396 fuera de [0.0000, 0.0200]"
