Date,Strategy,SP500,MSCI_World (URTH)
2013-08-01,9997959.13828893,10000000.0,10000000.0
2013-08-02,10098422.669074437,10084810.840153707,10067703.720880501
2013-08-05,10035248.3999533,10019238.654784277,10237673.25271667
2013-08-06,10002812.779682713,9978445.287329413,10132091.549718717
2013-08-07,9898245.353379391,9908265.956508176,10005730.111420752
2013-08-08,9901739.14233108,9920090.15376136,10237730.85610924
2013-08-09,9861395.294953758,9862567.346186018,10207819.477836179
2013-08-12,9880936.541940037,9880971.161805063,10182092.884670038
2013-08-13,9924187.77330637,9944818.041790625,10217677.98675034
2013-08-14,9892873.774991367,9914191.039519288,10261914.486285044
2013-08-15,9757830.292110639,9776573.163185112,10074436.421100922
2013-08-16,9661090.377279514,9678720.376821686,9748765.460845137
2013-08-19,9618628.012097687,9634830.98276562,9766992.248551443
2013-08-20,9662944.50587937,9678712.769098295,9763476.736366328
2013-08-21,9529151.266079824,9556628.463589406,9623698.458190233
2013-08-22,9658595.713034306,9700170.691176279,9916633.661366563
2013-08-23,9699453.242808241,9724048.127081487,9907636.753516944
2013-08-26,9641854.456153858,9665099.559832916,9865971.153250495
2013-08-27,9520061.337521404,9514858.556886533,9508219.347734228
2013-08-28,9515703.772240464,9539446.788852612,9733281.885719761
2013-08-29,9597931.929082356,9595525.603663266,9578205.1460944
2013-08-30,9608586.229397157,9636436.23292847,9750281.595209107
2013-09-02,9642461.41757134,9636436.23292847,9750281.595209107
2013-09-03,9719975.88366578,9713964.695684046,9784481.588838328
2013-09-04,9843222.653530754,9806213.848338328,9796354.534924408
2013-09-05,9849838.13184606,9798845.273741497,9941234.687103765
2013-09-06,9927726.072304554,9865039.593744084,10053579.266531782
2013-09-09,9995650.872351633,9917305.282679662,9956512.528130868
2013-09-10,10015836.552011825,9927487.002255565,9893550.453643346
2013-09-11,10029110.863560792,9952441.752753798,9887385.973014869
2013-09-12,9958608.733256767,9889260.453597391,9992438.867991436
2013-09-13,10003363.79430899,9923913.265624424,9950991.366955742
2013-09-16,10024703.513848502,9936216.485434238,9944360.91167799
2013-09-17,10086884.487746648,9996557.294678686,9995657.4124241
2013-09-18,10190869.420056988,10097148.83669343,10275406.331261668
2013-09-19,10059385.111112194,9957159.344073532,10080212.709513789
2013-09-20,9981451.718324017,9879389.014362589,10111283.653718
2013-09-23,9935848.296180123,9833407.829039156,10071624.606273318
2013-09-24,9974558.44168473,9836150.498854939,9959999.270010939
2013-09-25,9969746.706719765,9827448.348778738,10164171.696227811
2013-09-26,9981512.505028768,9832276.215147188,10130212.443810383
2013-09-27,9968997.95227817,9809437.576682819,10094065.929558912
2013-09-30,9903464.956180742,9750462.933191221,10100795.526099129
2013-10-01,9930034.667364404,9806026.15198982,10002782.477454465
2013-10-02,9938574.477014922,9798089.069526581,9914694.772342367
2013-10-03,9829729.140257435,9659425.430106752,9779372.06381656
2013-10-04,9854696.305395434,9708938.774317812,9802229.373104632
2013-10-07,9826287.426945621,9663429.328433262,9779417.984690834
2013-10-08,9735358.448007539,9550882.2160325,9672146.973547796
2013-10-09,9694461.04543037,9538092.480799673,9777336.2380145
2013-10-10,9919625.771392923,9799761.387935827,9832057.84113897
2013-10-11,9953858.58064761,9858238.277493212,10030502.232802851
2013-10-14,9957469.701722056,9875654.391148668,9899367.326993631
2013-10-15,9903408.90370976,9802688.60573636,9843588.728833254
2013-10-16,10035827.570274726,9966676.021332942,10185783.315743567
2013-10-17,10134039.413930153,10032743.013537357,10262556.250169704
2013-10-18,10069573.270033687,9993700.990178088,10173531.594565552
2013-10-21,10052642.467925547,9983342.779393977,10124949.320309684
2013-10-22,10137210.51681914,10045556.809401104,10214832.592466319
2013-10-23,10002371.005841197,9923073.757402353,10056999.201149965
2013-10-24,10045287.105017688,9954258.696538996,10099825.974520518
2013-10-25,10047270.089393133,9983054.067752056,10114175.780048106
2013-10-28,10056357.305012738,9997973.988592034,10178540.381768614
2013-10-29,10104334.877017142,10062953.489591314,10200749.608900584
2013-10-30,10089709.397147277,10046658.783295788,10188824.537029717
2013-10-31,10047626.683421744,10032073.81508029,10185041.581171283
2013-11-01,10151841.91887318,10162862.361704173,10315880.169561207
2013-11-04,10248540.64631457,10263437.644880818,10425498.81118839
2013-11-05,10183746.27590939,10213536.316013794,10351654.748567026
2013-11-06,10240221.975530485,10299124.653481927,10307770.52359262
2013-11-07,10050077.160096776,10135071.682076478,10291669.664030451
2013-11-08,10244750.10522203,10355255.550051771,10251438.59500131
2013-11-11,10311095.78764165,10404507.3389184,10298451.069393206
2013-11-12,10250785.695552137,10335847.470054222,10251300.980201837
2013-11-13,10280167.835516993,10395032.939458836,10375895.404278874
2013-11-14,10291863.620596252,10408425.196833028,10334647.72743443
2013-11-15,10431407.088854998,10485303.481308617,10410083.223646147
2013-11-18,10377430.334860474,10421494.75323114,10598964.489919664
2013-11-19,10316170.184963385,10383131.920680916,10323355.45624693
2013-11-20,10225470.84109096,10302576.00295966,10281440.743844805
2013-11-21,10406141.833833292,10488988.318645384,10566827.029594
2013-11-22,10438316.031840153,10511720.193315469,10575059.41015848
2013-11-25,10356476.300607642,10438868.516249344,10406337.544738827
2013-11-26,10401926.650761262,10460857.949359389,10411737.336995054
2013-11-27,10417141.535121107,10455265.530604834,10397513.524677146
2013-11-28,10414326.786573991,10455265.530604834,10397513.524677146
2013-11-29,10410562.980135523,10420551.943332955,10484396.774842959
2013-12-02,10372808.754598614,10407917.512460984,10346524.310962604
2013-12-03,10327410.963159876,10395892.193951229,10308262.021513026
2013-12-04,10263645.64353968,10357569.28141037,10266882.04566673
2013-12-05,10246061.785515377,10315267.689271063,10217280.21968129
2013-12-06,10276655.247452525,10366788.75517484,10268792.194304397
2013-12-09,10268086.103679148,10365443.140987972,10256379.240361143
2013-12-10,10221246.386582065,10302957.37207161,10213307.532601623
2013-12-11,10068504.74287575,10169332.115236782,10080656.099606518
2013-12-12,10026859.584888054,10119853.125637464,9933974.371202411
2013-12-13,10052332.655157644,10144668.318400092,9984792.162385248
2013-12-16,10148055.456844829,10216452.445360217,10128953.749441309
2013-12-17,10100968.39630075,10166467.07173192,10072831.809601346
2013-12-18,10235564.873969136,10333770.37237312,10230527.478177128
2013-12-19,10295894.433625089,10386932.423562815,10286014.891960094
2013-12-20,10388650.93691623,10469651.973283976,10307974.561678076
2013-12-23,10443957.683937728,10508195.811785774,10408514.849058436
2013-12-24,10459170.114203228,10514659.582867395,10313881.546757258
2013-12-26,10503360.50313145,10592440.26677152,10489978.056162717
2013-12-27,10530408.280974813,10570437.76322679,10423593.646884207
2013-12-30,10486021.15292226,10527165.066683896,10469593.046761673
2013-12-31,10490709.880772153,10531177.207328642,10491429.857951235
2014-01-02,10388057.969071109,10463091.97141404,10416627.12710502
2014-01-03,10454467.223722285,10537996.145917473,10492917.42745162
2014-01-06,10458099.652631536,10562026.208926728,10457939.80754857
2014-01-07,10500687.935397241,10598865.658255119,10560431.040143803
2014-01-08,10539352.704377968,10613315.717927217,10546781.491017483
2014-01-09,10606329.29367814,10654963.420057269,10474901.562553003
2014-01-10,10667589.230350511,10656424.343512895,10573659.578669792
2014-01-13,10521983.57792806,10464848.19811657,10481362.508475123
2014-01-14,10589733.942048261,10580333.970692294,10466204.649205036
2014-01-15,10646245.223310512,10638526.93070476,10562383.970199961
2014-01-16,10685251.234613132,10678724.562768545,10613057.23767781
2014-01-17,10656151.659241483,10618955.152833644,10578796.894452037
2014-01-20,10726823.187988533,10618955.152833644,10578796.894452037
2014-01-21,10751711.598954998,10704424.28833891,10675287.99298061
2014-01-22,10781454.198290117,10703411.153044716,10676456.020840574
2014-01-23,10694249.912979713,10628962.778155975,10545135.54525105
2014-01-24,10332767.55630711,10290615.524454992,10258816.161163425
2014-01-27,10240180.762960885,10240834.58028507,10199407.3952043
2014-01-28,10338125.135699693,10311825.525850162,10296769.127159823
2014-01-29,10265785.88001016,10227445.13242052,10196795.260153774
2014-01-30,10351163.860681659,10333174.109974682,10230381.50300062
2014-01-31,10326569.210762046,10348268.36152666,10246388.53144088
2014-02-03,10146090.92952506,10168315.988264477,10098236.729982655
2014-02-04,10188770.123888506,10211646.259356098,10119504.93879727
2014-02-05,10198581.027783955,10205729.693839004,10109570.144646179
2014-02-06,10337814.062578633,10325644.92140029,10268883.118187934
2014-02-07,10413976.438813008,10409776.609157596,10338051.486906542
2014-02-10,10391614.602226129,10408055.89201874,10309825.089437807
2014-02-11,10493712.627443422,10501325.839954408,10461854.47250718
2014-02-12,10518249.570072934,10511968.789087417,10488442.81082165
2014-02-13,10604158.097021878,10604284.574792996,10553518.210722663
2014-02-14,10603434.35193192,10593688.035469418,10513742.299997896
2014-02-17,10592198.493620778,10593688.035469418,10513742.299997896
2014-02-18,10594936.216577245,10586474.069407366,10519617.966463573
2014-02-19,10484277.793522052,10472414.544129776,10481643.647255141
2014-02-20,10562150.612282986,10558424.054123458,10534263.339993687
2014-02-21,10591991.810762841,10553476.766019681,10541350.756664509
2014-02-24,10624565.496043012,10599055.13491554,10632033.61077256
2014-02-25,10626823.212812055,10596499.6938238,10583964.184493007
2014-02-26,10648784.948930275,10589358.663057046,10529758.392038109
2014-02-27,10758378.621102499,10694820.694390347,10518836.948675614
2014-02-28,10752300.487878133,10701919.236180773,10670739.087618867
2014-03-03,10602803.904941222,10573055.306314265,10476231.97919507
2014-03-04,10785588.350476341,10752838.977123715,10641770.109927371
2014-03-05,10773179.565376325,10759330.449356716,10674567.980836371
2014-03-06,10790666.16927222,10789454.318592431,10747549.126619652
2014-03-07,10643497.47901448,10693679.012496581,10634236.25572337
2014-03-10,10588959.557846665,10675994.544886362,10552468.179053899
2014-03-11,10544685.788178831,10623081.043803537,10443872.190722408
2014-03-12,10559157.184675854,10641845.767598126,10483332.787654186
2014-03-13,10391882.056612292,10487379.600544687,10351933.508938143
2014-03-14,10402976.82168268,10487443.504424317,10333566.55582039
2014-03-17,10443380.82582713,10546047.401311548,10298176.340581795
2014-03-18,10532852.923087109,10610980.465379145,10326639.278786467
