Ticker,ct (fraccion motor),Comision_pct_nominal,Comision_bps
BITO,0.0005004805766920219,0.050048,5.0048
BOTZ,0.00023622122326655786,0.023622,2.3622
CIBR,0.0005246284501061732,0.052463,5.2463
COPX,0.0003052685596989472,0.030527,3.0527
DBA,0.00029565642731359834,0.029566,2.9566
EMB,0.0008,0.08,8.0
EWJ,0.000161481709191547,0.016148,1.6148
EWT,0.0002544401544402335,0.025444,2.5444
EWY,0.0002468069488622517,0.024681,2.4681
EWZ,0.0002554001554001245,0.02554,2.554
GLD,0.000175316328580039,0.017532,1.7532
HYG,0.00016197706848469236,0.016198,1.6198
IEF,0.00015203184348816748,0.015203,1.5203
IEMA.L,0.0007545114539504469,0.075451,7.5451
IGV,0.00019739943508332637,0.01974,1.974
INDA,0.0001916170407695649,0.019162,1.9162
ITB,0.00020254306808857678,0.020254,2.0254
IUSN.DE,0.0009385473779268465,0.093855,9.3855
IWDA.L,0.0002529870725923355,0.025299,2.5299
IYT,0.0002991106391451592,0.029911,2.9911
KBE,0.00018177283506417544,0.018177,1.8177
LIT,0.0004770454716838636,0.047705,4.7705
LQD,0.0008,0.08,8.0
MCHI,0.0001803148341498515,0.018031,1.8031
SLV,0.0001760167236792483,0.017602,1.7602
SOXX,0.00016372064867614558,0.016372,1.6372
TIP,0.0008,0.08,8.0
TLT,0.00015743495491358977,0.015743,1.5743
VGK,0.00021825922421946558,0.021826,2.1826
VNQ,0.00015648121999438077,0.015648,1.5648
XBI,0.0008,0.08,8.0
XEON.DE,0.0008,0.08,8.0
XLB,0.00020842459069714855,0.020842,2.0842
XLC,0.0001427734291458365,0.014277,1.4277
XLE,0.00020951702989812737,0.020952,2.0952
XLF,0.0001910166560480387,0.019102,1.9102
XLI,0.00016329514526239075,0.01633,1.633
XLK,0.00013465363689916106,0.013465,1.3465
XLP,0.00016435420554736544,0.016435,1.6435
XLU,0.00021575413821050025,0.021575,2.1575
XLV,0.00016430868167196725,0.016431,1.6431
XLY,0.0001844880027036593,0.018449,1.8449
XOP,0.00021630160883892666,0.02163,2.163
