Date,Strategy,SP500,MSCI_World (URTH)
2026-03-12,9996486.608815674,10000000.0,10000000.0
2026-03-13,9928253.404503778,9961993.381535983,9942117.631894391
2026-03-16,10203919.412236093,10139551.923519108,10143592.234969834
2026-03-17,10182618.348493572,10109261.54174122,10111420.02332963
2026-03-18,9959418.11643994,9933696.992086176,9927860.564773517
2026-03-19,10008075.255273618,9974051.277599541,9970276.867890328
2026-03-20,9653714.294240508,9735039.123402318,9689978.718739035
2026-03-23,9941630.895342153,9852062.767586187,9843043.07464637
2026-03-24,9880163.362904511,9779262.157984361,9765751.137377154
2026-03-25,10030230.275462788,9827367.69546271,9832117.139859969
2026-03-26,9836531.405287748,9696255.814406129,9705620.082838329
2026-03-27,9809334.329034405,9552734.49835676,9584685.519591704
2026-03-30,9768360.258470044,9556488.665222136,9594293.85041971
2026-03-31,10179558.798484847,9861738.925712911,9900468.926007805
2026-04-01,10140685.218230076,9838002.069506083,9900252.160495084
2026-04-02,10072082.796267552,9832956.871105744,9881378.976629835
2026-04-06,10180455.56226364,9948597.456840204,9994361.03819804
2026-04-07,10197199.995288592,9926055.223807348,9964598.105171863
2026-04-08,10396768.85844165,10052226.543029668,10120520.34478495
2026-04-09,10408227.91298144,10133850.247749787,10182015.05175735
2026-04-10,10363800.556881001,10099514.345712721,10155314.234874481
2026-04-13,10510494.959813628,10212279.683402495,10256236.638538063
2026-04-14,10571473.310582874,10254409.275710354,10282213.254069401
2026-04-15,10534177.293155028,10308567.647657169,10326633.086667566
2026-04-16,10628378.709998077,10325363.791780595,10320772.552938184
2026-04-17,10803017.154066248,10473598.961492117,10472839.024994262
2026-04-20,10798044.590933975,10489604.208212662,10494829.211587824
2026-04-21,10658111.520456577,10382754.759388808,10337117.971513256
2026-04-22,10883356.449856622,10523739.610227307,10460455.720519627
2026-04-23,10778676.932862839,10517126.082372017,10435384.48045993
2026-04-24,10881288.066951577,10618725.770479152,10533390.99961354
2026-04-27,10885413.429533498,10616512.815024897,10522774.391273877
2026-04-28,10765030.305101285,10549516.98617812,10452663.064043881
2026-04-29,10793138.025086733,10552956.909686513,10427567.301004453
2026-04-30,11048982.961634168,10688177.586677536,10601693.393166801
2026-05-01,11017830.12194141,10677198.811803715,10572841.129327374
2026-05-04,10997419.02912477,10640330.318893552,10510578.3919392
2026-05-05,11197874.503187664,10757509.88011224,10621002.220550667
2026-05-06,11376163.683166295,10884844.954243185,10793061.193365823
2026-05-07,11159339.87579278,10822229.207937256,10682963.56669445
2026-05-08,11349542.1774475,10926319.407189403,10779055.544095978
2026-05-11,11436193.437624589,10916517.024006989,10757765.878560316
2026-05-12,11266154.871331638,10889717.549381489,10731052.426169373
2026-05-13,11319943.216221856,10950643.864233736,10787765.239439076
