Date,IWDA.L,VGK,EWJ,IUSN.DE,IEMA.L,MCHI,EWZ,INDA,EWT,EWY,XLY,XLC,XLF,KBE,XLE,XOP,XLI,IYT,XLB,ITB,XLV,XBI,XLP,XLU,XLK,SOXX,IGV,CIBR,BOTZ,VNQ,LIT,GLD,SLV,DBA,COPX,TLT,IEF,TIP,HYG,LQD,EMB,BITO,XEON.DE
2026-03-12,0.010852,0.0,0.064023,0.040222,0.0,0.0,0.054475,0.0,0.034931,0.085279,0.035571,0.0,0.0,0.069084,0.064038,0.0,0.014994,0.020684,0.040098,0.0,0.0,0.120206,0.0,0.0,0.029099,0.067861,0.0,0.0,0.0,0.0,0.120212,0.021404,0.014442,0.0,0.084348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008177
2026-03-13,0.010849,0.0,0.063946,0.040318,0.0,0.0,0.053994,0.0,0.035353,0.086478,0.03567,0.0,0.0,0.069389,0.064812,0.0,0.015071,0.02088,0.04005,0.0,0.0,0.120477,0.0,0.0,0.029132,0.068689,0.0,0.0,0.0,0.0,0.119986,0.021312,0.013847,0.0,0.081512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008234
2026-03-16,0.010706,0.0,0.063976,0.03939,0.0,0.0,0.054484,0.0,0.035668,0.090891,0.035392,0.0,0.0,0.068426,0.063759,0.0,0.014901,0.020704,0.039431,0.0,0.0,0.120126,0.0,0.0,0.028973,0.068663,0.0,0.0,0.0,0.0,0.119667,0.020874,0.013674,0.0,0.082285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008012
2026-03-17,0.010737,0.0,0.063758,0.039594,0.0,0.0,0.054559,0.0,0.036021,0.091476,0.035575,0.0,0.0,0.068255,0.064204,0.0,0.014888,0.020985,0.039387,0.0,0.0,0.119974,0.0,0.0,0.029029,0.068953,0.0,0.0,0.0,0.0,0.119278,0.020748,0.013335,0.0,0.081213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008029
2026-03-18,0.010853,0.0,0.064251,0.040387,0.0,0.0,0.054907,0.0,0.035867,0.091434,0.035411,0.0,0.0,0.068743,0.065326,0.0,0.015049,0.021085,0.039288,0.0,0.0,0.119206,0.0,0.0,0.029242,0.06985,0.0,0.0,0.0,0.0,0.117814,0.020471,0.013025,0.0,0.079581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008209
2026-03-19,0.010707,0.0,0.064304,0.039438,0.0,0.0,0.055362,0.0,0.036329,0.093627,0.03519,0.0,0.0,0.069323,0.066475,0.0,0.014972,0.021063,0.038752,0.0,0.0,0.120606,0.0,0.0,0.02939,0.07036,0.0,0.0,0.0,0.0,0.116802,0.01966,0.012473,0.0,0.076999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008169
2026-03-20,0.010912,0.0,0.063752,0.040452,0.0,0.0,0.054591,0.0,0.036054,0.08967,0.03548,0.0,0.0,0.071055,0.068185,0.0,0.015146,0.021394,0.039149,0.0,0.0,0.121767,0.0,0.0,0.029487,0.070598,0.0,0.0,0.0,0.0,0.116837,0.019566,0.011994,0.0,0.075442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008471
2026-03-23,0.010678,0.0,0.063793,0.039586,0.0,0.0,0.055801,0.0,0.036279,0.092772,0.035337,0.0,0.0,0.070249,0.067103,0.0,0.014897,0.021108,0.038706,0.0,0.0,0.119787,0.0,0.0,0.029064,0.069499,0.0,0.0,0.0,0.0,0.11856,0.018598,0.011844,0.0,0.078115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008225
2026-03-24,0.010705,0.0,0.063723,0.040085,0.0,0.0,0.055648,0.0,0.035641,0.089456,0.035272,0.0,0.0,0.070918,0.068612,0.0,0.015016,0.02113,0.039523,0.0,0.0,0.117914,0.0,0.0,0.028956,0.070565,0.0,0.0,0.0,0.0,0.12026,0.018642,0.011961,0.0,0.077698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008276
2026-03-25,0.010611,0.0,0.063836,0.039888,0.0,0.0,0.056079,0.0,0.035904,0.087369,0.035054,0.0,0.0,0.070155,0.067242,0.0,0.014881,0.020986,0.039677,0.0,0.0,0.120327,0.0,0.0,0.028632,0.070326,0.0,0.0,0.0,0.0,0.120526,0.018903,0.012197,0.0,0.079251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008156
