Date,Portfolio Value,Rebalance,Trade Cost EUR,Selected ETFs,N ETFs,Weight XEON,Regime,Reason
2020-01-02,9997117.29,True,2882.71,"IWDA.L, EWJ, IUSN.DE, EWT, XLC, XLF, KBE, XLE, ITB, XLV, XBI, XLP, XLK, SOXX, GLD, SLV, LQD",17,0.0,normal,"rebalance: EWJ peso=0.0000 fuera de [0.0657, 0.1057]"
2020-01-31,9949034.67,True,2869.01,"IWDA.L, EWT, XLF, ITB, XLV, XBI, XLK, SOXX, GLD, SLV",10,0.0,normal,"rebalance: EWJ peso=0.0845 fuera de [0.0000, 0.0200]"
2020-02-28,9360143.72,True,1646.53,"EWT, XLF, ITB, XLV, XLU, XLK, SOXX, IGV, BOTZ, LIT, GLD, SLV",12,0.0,normal,"rebalance: BOTZ peso=0.0000 fuera de [0.0053, 0.0453]"
2020-03-31,7975709.3,True,2857.99,"IWDA.L, MCHI, EWT, XLC, ITB, XLV, XBI, XLK, SOXX, IGV, BOTZ, LIT, GLD, DBA, TLT, IEF, TIP, HYG, LQD, EMB",20,0.0,crisis,"rebalance: DBA peso=0.0000 fuera de [0.0388, 0.0788]"
2020-04-30,8921487.78,True,2157.64,"EWJ, MCHI, XLC, XLV, XBI, XLP, XLU, XLK, SOXX, IGV, CIBR, BOTZ, LIT, GLD, DBA, TLT, IEF, TIP, HYG, LQD",20,0.0,crisis,"rebalance: CIBR peso=0.0000 fuera de [0.0038, 0.0438]"
2020-05-29,9127272.78,True,1300.92,"MCHI, EWT, XLY, XLC, XLB, XLV, XBI, XLP, XLK, SOXX, IGV, CIBR, LIT, GLD, TLT, IEF, TIP, HYG, LQD",19,0.0069,caution,"rebalance: DBA peso=0.0696 fuera de [0.0000, 0.0200]"
2020-06-30,9321344.29,True,2044.86,"MCHI, XLY, XLC, KBE, XLV, XLU, XLK, SOXX, IGV, CIBR, BOTZ, LIT, GLD, TLT, IEF, TIP, HYG, LQD",18,0.0026,caution,"rebalance: BOTZ peso=0.0000 fuera de [0.0149, 0.0549]"
2020-07-31,9489415.91,True,2819.76,"IUSN.DE, MCHI, EWT, XLY, XLC, XLF, XLI, IYT, XLB, XBI, XLK, SOXX, IGV, BOTZ, LIT, GLD, TLT, IEF, TIP, LQD",20,0.0,normal,"rebalance: CIBR peso=0.0351 fuera de [0.0000, 0.0200]"
2020-08-31,9952466.78,True,2319.9,"IWDA.L, EWT, XLY, XLB, ITB, XLV, XBI, XLP, XLK, SOXX, IGV, CIBR, BOTZ, LIT, GLD, TLT, IEF, TIP, LQD",19,0.0048,normal,"rebalance: CIBR peso=0.0000 fuera de [0.0029, 0.0429]"
2020-09-30,10074290.16,True,3170.7,"IWDA.L, XLY, XLC, IYT, XLB, ITB, XLK, SOXX, IGV, CIBR, BOTZ, LIT, SLV, COPX",14,0.0031,normal,"rebalance: COPX peso=0.0000 fuera de [0.0626, 0.1026]"
2020-10-30,10128781.18,True,1423.38,"INDA, EWT, EWY, XLY, XLF, IYT, ITB, SOXX, IGV, BOTZ, LIT, SLV, COPX",13,0.0044,normal,"rebalance: BOTZ peso=0.0374 fuera de [0.0399, 0.0799]"
2020-11-30,11155546.8,True,2440.56,"IUSN.DE, IEMA.L, MCHI, INDA, EWT, XLY, IYT, ITB, XLU, SOXX, BOTZ, LIT, SLV, COPX",14,0.0106,normal,"rebalance: BOTZ peso=0.0606 fuera de [0.0614, 0.1014]"
2020-12-31,11648746.87,True,2936.3,"IEMA.L, INDA, EWT, EWY, XLI, IYT, XLB, ITB, XBI, SOXX, BOTZ, LIT, COPX",13,0.0021,normal,"rebalance: COPX peso=0.0687 fuera de [0.1194, 0.1594]"
2021-01-29,11956057.84,True,4688.35,"IUSN.DE, EWZ, INDA, EWY, KBE, XLI, IYT, XBI, SOXX, CIBR, BOTZ, LIT, SLV, COPX",14,0.0086,normal,"rebalance: CIBR peso=0.0000 fuera de [0.0347, 0.0747]"
2021-02-26,12358792.84,True,2935.74,"EWJ, IUSN.DE, EWT, EWY, KBE, XBI, SOXX, CIBR, BOTZ, LIT, COPX",11,0.0044,normal,"rebalance: BOTZ peso=0.0524 fuera de [0.0621, 0.1021]"
2021-03-31,12750219.19,True,3137.81,"IUSN.DE, IEMA.L, INDA, EWT, EWY, XLC, XLF, KBE, XLE, XOP, XBI, SOXX, CIBR, LIT, DBA, COPX",16,0.0001,normal,"rebalance: BOTZ peso=0.0813 fuera de [0.0000, 0.0200]"
2021-04-30,12879631.66,True,3137.22,"IUSN.DE, INDA, EWT, EWY, XLC, XLF, KBE, XLE, XOP, IYT, SOXX, CIBR, COPX",13,0.0101,normal,"rebalance: DBA peso=0.0676 fuera de [0.0000, 0.0200]"
2021-05-31,13164198.94,True,2322.93,"IUSN.DE, EWT, EWY, XLY, XLC, XLF, KBE, XLE, XOP, IYT, ITB, XLK, SOXX, IGV, CIBR, VNQ, LIT, DBA, COPX",19,0.0077,normal,"rebalance: DBA peso=0.0000 fuera de [0.0296, 0.0696]"
2021-06-30,13602881.15,True,1638.71,"VGK, IUSN.DE, EWT, XLC, XLF, KBE, XLE, XOP, IYT, XLB, ITB, SOXX, IGV, CIBR, VNQ, LIT, DBA, COPX",18,0.0,normal,"rebalance: EWY peso=0.0384 fuera de [0.0000, 0.0200]"
2021-07-30,13751638.09,True,3611.34,"IWDA.L, EWT, XLC, XLF, XLE, XOP, XLI, IYT, ITB, XLV, XLK, SOXX, IGV, CIBR, VNQ, DBA",16,0.0,normal,"rebalance: CIBR peso=0.0393 fuera de [0.0000, 0.0319]"
2021-08-31,14199120.35,True,2093.32,"IWDA.L, VGK, EWT, XLC, XLF, XLE, XLI, ITB, XLV, XLP, XLK, SOXX, IGV, CIBR, VNQ, LIT, DBA, COPX",18,0.0108,normal,"rebalance: COPX peso=0.0000 fuera de [0.0081, 0.0481]"
2021-09-30,13817239.15,True,2216.36,"IWDA.L, EWZ, INDA, XLC, XLF, ITB, XLV, XLP, XLU, XLK, SOXX, IGV, CIBR, VNQ, LIT, DBA",16,0.0153,normal,"rebalance: COPX peso=0.0272 fuera de [0.0000, 0.0200]"
2021-10-29,14379289.29,True,2725.58,"IWDA.L, EWJ, INDA, XLF, XLE, XOP, XLV, XLK, IGV, CIBR, BOTZ, VNQ, LIT, GLD, DBA, TIP, HYG",17,0.0005,normal,"rebalance: DBA peso=0.0944 fuera de [0.0492, 0.0892]"
2021-11-30,14505036.83,True,2463.88,"IWDA.L, INDA, XLY, XLF, KBE, XLE, XOP, XLV, XLK, IGV, CIBR, VNQ, LIT, DBA",14,0.0109,normal,"rebalance: EWJ peso=0.0495 fuera de [0.0000, 0.0200]"
2021-12-31,14768558.86,True,2795.31,"IWDA.L, INDA, EWT, XLY, XLF, KBE, XLE, ITB, XLV, XLU, XLK, SOXX, CIBR, LIT, DBA, TLT, IEF, TIP, LQD",19,0.0054,normal,"rebalance: DBA peso=0.0532 fuera de [0.0719, 0.1119]"
2022-01-31,14479193.33,True,3047.26,"IWDA.L, INDA, EWT, XLY, XLF, KBE, XLE, XLB, ITB, XLV, XLP, XLU, XLK, SOXX, CIBR, VNQ, LIT, DBA, TIP",19,0.0096,normal,"rebalance: DBA peso=0.0973 fuera de [0.0464, 0.0864]"
2022-02-28,14301128.89,True,2922.91,"INDA, EWT, XLY, XLF, KBE, XLE, XOP, XLV, XLP, XLU, XLK, SOXX, CIBR, VNQ, DBA, TLT, IEF, TIP, HYG, EMB",20,0.0,normal,"rebalance: DBA peso=0.0695 fuera de [0.0870, 0.1270]"
2022-03-31,14824014.7,True,3130.71,"VGK, EWT, XLY, KBE, XLE, XOP, IYT, ITB, XLV, XLP, XLK, SOXX, CIBR, GLD, DBA, COPX, IEF, TIP, HYG",19,0.0078,caution,"rebalance: CIBR peso=0.0281 fuera de [0.0407, 0.0807]"
2022-04-29,14791002.53,True,3515.22,"IWDA.L, VGK, EWZ, EWT, XLY, XLE, XOP, XLI, IYT, XLV, XLU, XLK, SOXX, CIBR, DBA, COPX",16,0.0211,caution,"rebalance: COPX peso=0.0390 fuera de [0.0428, 0.0828]"
2022-05-31,14801727.3,True,3754.23,"VGK, IEMA.L, EWZ, INDA, EWT, EWY, XLE, XOP, IYT, XLB, XLV, XLP, XLU, CIBR, GLD, DBA, COPX, TIP, HYG",19,0.009,caution,"rebalance: CIBR peso=0.0583 fuera de [0.0000, 0.0352]"
2022-06-30,13950682.2,True,1987.75,"EWZ, INDA, XLE, XOP, XLB, XLV, XLP, XLU, XLK, GLD, DBA, IEF, TIP, HYG",14,0.027,caution,"rebalance: COPX peso=0.0235 fuera de [0.0000, 0.0200]"
2022-07-29,15000090.24,True,2358.34,"IUSN.DE, MCHI, EWZ, INDA, XLE, XOP, XLV, XLP, XLU, LIT, GLD, DBA, IEF, TIP, HYG, LQD",16,0.0072,caution,"rebalance: EWZ peso=0.1392 fuera de [0.0945, 0.1345]"
2022-08-31,15193772.5,True,3747.51,"IUSN.DE, INDA, XLY, XLE, XOP, XLI, XLV, XLP, XLU, XLK, IGV, CIBR, VNQ, LIT, GLD, IEF, TIP, HYG, LQD",19,0.0025,normal,"rebalance: CIBR peso=0.0000 fuera de [0.0084, 0.0484]"
2022-09-30,14261135.04,True,2843.81,"IWDA.L, IUSN.DE, IEMA.L, MCHI, INDA, XLY, XLE, XOP, XLI, IYT, XLV, XBI, XLP, XLU, VNQ, LIT, DBA, IEF, TIP, HYG",20,0.0,caution,"rebalance: CIBR peso=0.0278 fuera de [0.0000, 0.0200]"
2022-10-31,14839050.94,True,3161.34,"IWDA.L, IUSN.DE, INDA, KBE, XLE, XOP, ITB, XLV, XBI, XLP, LIT, GLD, DBA, IEF, TIP, HYG, LQD, EMB",18,0.0062,caution,"rebalance: GLD peso=0.0000 fuera de [0.0269, 0.0669]"
2022-11-30,14888222.83,True,2510.94,"IWDA.L, IUSN.DE, EWZ, INDA, XLF, KBE, XLE, XOP, XLI, ITB, XLV, XBI, XLP, LIT, DBA, IEF, TIP, HYG",18,0.0145,caution,"rebalance: EWZ peso=0.0000 fuera de [0.0566, 0.0966]"
2022-12-30,13808142.48,True,3468.44,"IWDA.L, VGK, EWJ, IUSN.DE, IEMA.L, INDA, XLF, KBE, XLE, XLI, IYT, ITB, XLV, XBI, XLP, SLV, IEF, HYG, LQD, EMB",20,0.0,normal,"rebalance: DBA peso=0.0623 fuera de [0.0000, 0.0200]"
2023-01-31,14201785.59,True,2945.6,"VGK, EWJ, IUSN.DE, XLF, XLE, XLI, ITB, XLV, XBI, XLP, GLD, SLV, COPX, HYG, LQD, EMB",16,0.0029,normal,"rebalance: COPX peso=0.0000 fuera de [0.0204, 0.0604]"
2023-02-28,13994697.42,True,3365.91,"VGK, EWJ, IUSN.DE, IEMA.L, MCHI, EWT, XLF, XLE, XLI, XLB, ITB, BOTZ, GLD, SLV, COPX, BITO",16,0.0131,normal,"rebalance: BITO peso=0.0000 fuera de [0.0480, 0.0880]"
2023-03-31,14010564.64,True,2196.46,"VGK, EWJ, IUSN.DE, EWT, XLF, XLE, XLI, XLB, ITB, SOXX, BOTZ, GLD, COPX, BITO",14,0.0066,normal,"rebalance: BITO peso=0.0806 fuera de [0.0911, 0.1311]"
2023-04-28,13992894.62,True,2359.23,"IWDA.L, VGK, EWJ, IUSN.DE, MCHI, EWT, EWY, XLI, ITB, XLP, XLK, SOXX, BOTZ, GLD, COPX, BITO",16,0.0184,normal,"rebalance: COPX peso=0.0812 fuera de [0.0186, 0.0586]"
