Date,Strategy,SP500,MSCI_World (URTH)
2020-01-02,9997117.292486662,10000000.0,10000000.0
2020-01-03,9989192.293593528,9968151.37039796,9959439.560033906
2020-01-06,10024577.900697788,10014675.753055705,10024457.840855082
2020-01-07,9990440.91752655,9954379.183624484,9966023.299321739
2020-01-08,10040515.374268869,10046240.181846144,10032969.744920572
2020-01-09,10120269.24356935,10152153.591178324,10128282.897572223
2020-01-10,10108751.562482003,10124854.3173116,10089612.125560673
2020-01-13,10141729.707833726,10189390.147031384,10149472.769148108
2020-01-14,10141038.035969103,10156434.616452899,10111848.2450396
2020-01-15,10157456.119484065,10183811.090460416,10130419.411827337
2020-01-16,10186689.852818578,10247252.155734101,10190295.418953042
2020-01-17,10216436.851345595,10292456.30244447,10237901.542339241
2020-01-20,10256619.99184377,10292456.30244447,10237901.542339241
2020-01-21,10217309.67035415,10311779.960825749,10223401.13945359
2020-01-22,10244604.141492639,10323554.115731291,10252144.59615017
2020-01-23,10229387.979408113,10325310.483529096,10234014.243207505
2020-01-24,10196078.98835023,10271642.828646889,10203846.95424033
2020-01-27,10084563.025231957,10134370.114326475,10056629.480545906
2020-01-28,10159056.002996787,10245762.241276037,10154828.50490437
2020-01-29,10126411.223939449,10234705.83043595,10155323.332742037
2020-01-30,10120283.429161958,10273237.36578949,10175935.3554081
2020-01-31,9949034.6686603,10075474.891981296,9989819.266676787
2020-02-03,9955891.750193767,10094794.03580827,9989048.127536304
2020-02-04,10116380.531125667,10273543.154834656,10191644.073120276
2020-02-05,10270327.616871452,10406896.22562165,10300984.108789919
2020-02-06,10339727.133832747,10484600.418665122,10379974.901946498
2020-02-07,10274566.24019833,10447080.120556865,10329475.777800685
2020-02-10,10388210.651866574,10557434.331460789,10413751.75517634
2020-02-11,10468305.756280921,10610471.23246308,10496510.344768817
2020-02-12,10509632.884841803,10673003.523757147,10543438.138869097
2020-02-13,10542693.83811535,10704221.997650145,10551368.676120624
2020-02-14,10583373.145590909,10750994.635990053,10594029.80546513
2020-02-17,10587787.586049227,10750994.635990053,10594029.80546513
2020-02-18,10553127.837490696,10729101.576430649,10569614.361916084
2020-02-19,10700823.50065968,10825041.281744292,10655154.08106578
