param,rf_importance,spearman
MERTON_N_TOP,0.2188,0.177
w_drawdown_buy,0.1726,-0.304
REBALANCE_FREQ,0.0952,0.342
w_vol_penalty,0.0603,-0.098
w_momentum,0.0483,0.312
w_reversal,0.0409,-0.063
COMPOSITE_MOMENTUM_WINDOW,0.0347,0.225
COMPOSITE_REVERSAL_WINDOW,0.0277,-0.049
COMPOSITE_TREND_WINDOW,0.0196,0.183
w_trend,0.0153,0.153
REGIME_AVG_CORR_CAUTION,0.0137,0.089
REGIME_AVG_CORR_CRISIS,0.0126,0.015
DN_CRISIS_MULT,0.0124,0.002
REGIME_EW_MDD_CAUTION,0.012,-0.052
CRISIS_VIEW_BOOST,0.0113,-0.085
COMPOSITE_VOL_WINDOW,0.0109,0.112
DN_BAND,0.0106,-0.035
VOL_CAUTION_THR,0.0104,0.051
DN_CAUTION_MULT,0.0098,-0.056
MERTON_MAX_WEIGHT,0.0096,-0.093
COV_SHRINKAGE,0.0095,0.018
COV_BLEND_ALPHA,0.0094,-0.044
VOL_CRISIS_THR,0.0091,-0.09
BL_DELTA,0.0091,0.057
CAUTION_VIEW_BOOST,0.0089,-0.031
MERTON_MAX_SECTOR,0.0089,-0.023
VIEW_SCALE,0.0087,0.075
COMPOSITE_MOMENTUM_SKIP,0.0084,0.137
DN_MIN_BAND,0.0081,0.015
REGIME_EW_MDD_CRISIS,0.0081,0.001
EWMA_LAMBDA,0.008,0.026
COV_SHORT_WINDOW,0.0078,0.14
REGIME_CORR_LOOKBACK,0.0076,0.046
COMPOSITE_DRAWDOWN_WINDOW,0.0075,0.044
REGIME_LOOKBACK_DD,0.0072,-0.017
MERTON_GAMMA,0.007,0.032
BL_RF,0.0069,-0.004
COV_LONG_WINDOW,0.0061,-0.079
BL_TAU,0.0057,0.034
BL_PRIOR_WEIGHTS_MODE,0.0012,0.089
