param,kind,baseline_value,baseline_Sharpe,Sharpe_min,Sharpe_max,Sharpe_span,argmax_value,n_points
MERTON_N_TOP,scalar,20,0.7659,0.5288,0.7659,0.2371,20,10
COMPOSITE_MOMENTUM_WINDOW,scalar,126,0.7659,0.6808,0.7854,0.1046,174,9
COMPOSITE_MOMENTUM_SKIP,scalar,21,0.7659,0.7203,0.7956,0.0753,52,10
REBALANCE_FREQ,categorical,ME,0.7659,0.7121,0.7659,0.0538,ME,3
COMPOSITE_REVERSAL_WINDOW,scalar,21,0.7659,0.7538,0.8046,0.0508,42,10
COV_BLEND_ALPHA,scalar,0.78,0.7659,0.74,0.7721,0.032,0.9,10
COV_SHORT_WINDOW,scalar,63,0.7659,0.7465,0.7749,0.0284,21,10
VIEW_SCALE,scalar,0.37,0.7659,0.7455,0.7737,0.0282,0.55,10
COMPOSITE_TREND_WINDOW,scalar,200,0.7659,0.7606,0.784,0.0233,100,10
EWMA_LAMBDA,scalar,0.94,0.7659,0.7558,0.7681,0.0123,0.96375,10
COMPOSITE_VOL_WINDOW,scalar,63,0.7659,0.7555,0.7669,0.0114,74,10
MERTON_MAX_SECTOR,scalar,0.35,0.7659,0.7615,0.7723,0.0108,0.25,10
MERTON_GAMMA,scalar,-0.8,0.7659,0.7615,0.7714,0.0099,-0.4,10
COV_SHRINKAGE,scalar,0.1,0.7659,0.7651,0.7743,0.0092,0.225,10
MERTON_MAX_WEIGHT,scalar,0.4,0.7659,0.7616,0.7688,0.0072,0.25,9
BL_DELTA,scalar,2.5,0.7659,0.7593,0.7659,0.0066,2.5,9
COV_LONG_WINDOW,scalar,252,0.7659,0.761,0.7667,0.0057,264,10
REGIME_CORR_LOOKBACK,scalar,63,0.7659,0.7634,0.7679,0.0045,113,10
CAUTION_VIEW_BOOST,scalar,1.15,0.7659,0.7628,0.7672,0.0044,1.3,9
REGIME_AVG_CORR_CAUTION,scalar,0.38,0.7659,0.7643,0.7682,0.0038,0.28,9
BL_PRIOR_WEIGHTS_MODE,categorical,inv_vol,0.7659,0.7627,0.7659,0.0032,inv_vol,2
DN_MIN_BAND,scalar,0.02,0.7659,0.7659,0.7686,0.0027,0.04,9
REGIME_LOOKBACK_DD,scalar,252,0.7659,0.7659,0.7683,0.0024,126,9
VOL_CAUTION_THR,scalar,0.28,0.7659,0.7659,0.7682,0.0023,0.18,10
CRISIS_VIEW_BOOST,scalar,1.3,0.7659,0.7646,0.7663,0.0016,1.6,9
REGIME_EW_MDD_CAUTION,scalar,0.16,0.7659,0.7659,0.7673,0.0014,0.19,9
REGIME_AVG_CORR_CRISIS,scalar,0.52,0.7659,0.7656,0.7666,0.0011,0.46,10
REGIME_EW_MDD_CRISIS,scalar,0.28,0.7659,0.7659,0.7661,0.0002,0.33,10
DN_CRISIS_MULT,scalar,2.0,0.7659,0.7659,0.7659,0.0,1.0,9
DN_CAUTION_MULT,scalar,1.5,0.7659,0.7659,0.7659,0.0,1.0,9
DN_BAND,scalar,0.05,0.7659,0.7659,0.7659,0.0,0.02,10
COMPOSITE_DRAWDOWN_WINDOW,scalar,252,0.7659,0.7659,0.7659,0.0,126,9
BL_RF,scalar,0.025,0.7659,0.7659,0.7659,0.0,0.0,10
BL_TAU,scalar,0.05,0.7659,0.7659,0.7659,0.0,0.02,9
VOL_CRISIS_THR,scalar,0.4,0.7659,0.7659,0.7659,0.0,0.32,10
