Fold,Train Start,Train End,Test Start,Test End,ML OOS AUC,ML OOS Accuracy,ML Test Base Rate,ML n_train,ML n_test,Rebalances,Strategy Total Return,Strategy CAGR,Strategy Volatility,Strategy Sharpe,Strategy Max Drawdown,SP500 Total Return,SP500 CAGR,SP500 Volatility,SP500 Sharpe,SP500 Max Drawdown
1,2020-01-01,2020-12-31,2021-01-01,2021-03-31,0.4845969247479719,0.56755710414247,0.6709252806813782,10004,2583,4,0.06481602055891056,0.3097863503427072,0.244542012671063,1.202496404774915,-0.07278839590726278,0.11599332998867617,0.6025245604080356,0.17655331607795408,2.6853486349186246,-0.03722822549131501
2,2020-04-01,2021-03-31,2021-04-01,2021-06-30,0.5392443341629453,0.5678353658536586,0.6330030487804879,9922,2624,4,0.038607536934381015,0.1681960223527026,0.14411385252339637,1.1743111028087727,-0.04760495027604646,0.05198148116703716,0.23117485431811868,0.13256359042625296,1.6572850701674458,-0.04559228951163429
3,2020-07-01,2021-06-30,2021-07-01,2021-09-30,0.4817382950499834,0.5739098300073909,0.6016260162601627,9922,2706,4,0.005646291768225176,0.023113148557030616,0.13283742045803987,0.2699022172752893,-0.04415083832928854,0.02642184229192779,0.11164013350552149,0.10927654590920098,1.0394119056602447,-0.03241546898537961
4,2020-10-01,2021-09-30,2021-10-01,2021-12-31,0.5042257992284778,0.5805617147080562,0.5953436807095344,9922,2706,4,0.07058324279156425,0.31889318587269155,0.1491971045646491,1.9079664972337862,-0.057462017885460535,0.1256452053166881,0.6166072628300026,0.14500677079218632,3.322675980116108,-0.04757602492884033
5,2021-01-01,2021-12-31,2022-01-01,2022-03-31,0.41527588780123786,0.4371189024390244,0.4569359756097561,9963,2624,4,0.022487320615238948,0.09905172529019368,0.16152997879610376,0.6697410664584332,-0.08258721375374668,-0.0035520963805031336,-0.014999313627903854,0.22195163384670433,0.06618787772808168,-0.11852472182692675
6,2021-04-01,2022-03-31,2022-04-01,2022-06-30,0.5558634267444602,0.4016768292682927,0.38414634146341464,10004,2624,4,-0.0741678318870389,-0.2711289897356639,0.24946171102107648,-1.111450500045053,-0.10539398716873818,-0.11744784378763717,-0.4011443120715583,0.307233237347344,-1.4831387393524509,-0.15745458931718453
7,2021-07-01,2022-06-30,2022-07-01,2022-09-30,0.4676497945146875,0.5225424981522543,0.4490022172949002,10004,2706,4,0.05073717625130647,0.22244749746347092,0.1843477666979543,1.1483620593616528,-0.0832279076890714,0.04328586862397499,0.18764549792746532,0.235614443968289,0.8247242303648774,-0.11219272988960347
8,2021-10-01,2022-09-30,2022-10-01,2022-12-31,0.5032820250461552,0.5264727815063386,0.49962714392244595,10004,2682,4,-0.047386360822460505,-0.1824906633617729,0.2020912676124489,-0.9256491161354556,-0.09794968741404271,-0.03453485431382297,-0.1357324299971162,0.2686716885239973,-0.4405972408481226,-0.09912849884458097
9,2022-01-01,2022-12-31,2023-01-01,2023-03-31,0.5344608347958942,0.5388278388278388,0.4846153846153846,10048,2730,4,0.009688387871288784,0.04130918489126456,0.17013286845761763,0.17256159175030797,-0.07519509503527125,0.048241816577916596,0.21871719942191836,0.19299156533775094,0.9501130564719092,-0.06775326320870421
10,2022-04-01,2023-03-31,2023-04-01,2023-06-30,0.4796697176419772,0.42075892857142855,0.6190476190476191,10070,2688,4,0.0332955851824015,0.14741014387273332,0.1381526103789072,0.8019956119988871,-0.03818158966623018,0.05502255006033563,0.25215822735741544,0.13378800003995195,1.4564236850377534,-0.03781675166194588
11,2022-07-01,2023-06-30,2023-07-01,2023-09-30,0.4788165036852614,0.53003663003663,0.40402930402930404,10134,2730,4,-0.016802795243886504,-0.0679172844880287,0.13001485255391265,-0.7335446953969332,-0.0609156992224228,0.0036543839734506367,0.015255315017703719,0.11465885855716573,-0.14072502988580113,-0.038246835180049676
12,2022-10-01,2023-09-30,2023-10-01,2023-12-31,0.4147437993054364,0.41183035714285715,0.7083333333333334,10200,2688,4,0.06572360030797153,0.3023890247423848,0.1388908889935414,1.6143602288168895,-0.04820584528242133,0.06220793904273214,0.28464903636209726,0.13644324683029663,1.5439735356696664,-0.06198503240544645
13,2023-01-01,2023-12-31,2024-01-01,2024-03-31,0.4546008037930467,0.5487528344671202,0.6980347694633409,10248,2646,4,0.14080680470994356,0.7497867497634307,0.12025394661902733,4.183799014671133,-0.017885082608731964,0.13126457618102427,0.6884651043093082,0.1118820424806755,4.182479656239921,-0.017127167063994243
14,2023-04-01,2024-03-31,2024-04-01,2024-06-30,0.5052435446139641,0.5714285714285714,0.5904761904761905,10164,2730,4,-0.004802606082877969,-0.019783255865517102,0.139995439685829,-0.3486927014035253,-0.047260675578302984,0.05663566042240653,0.2569078478950506,0.11381564607062403,1.6156193096854135,-0.03847479209726695
15,2023-07-01,2024-06-30,2024-07-01,2024-09-30,0.5493697664671854,0.6803751803751804,0.6475468975468975,10164,2772,4,0.04299138266906888,0.19090022080942215,0.17714465764334492,0.8138861750029602,-0.07702587446446792,0.013756155452050223,0.05834536916533528,0.17073982226908926,0.18178907998991908,-0.08639376800863587
16,2023-10-01,2024-09-30,2024-10-01,2024-12-31,0.505359925332042,0.5864468864468865,0.5974358974358974,10164,2730,4,0.05585365251918062,0.24678563692869493,0.1271449965419621,1.5150949893663268,-0.03739074677236228,0.10899429131839167,0.5217318086480236,0.13830514270812613,2.825392268267587,-0.0337338486749453
17,2024-01-01,2024-12-31,2025-01-01,2025-03-31,0.49060703830215324,0.3476946334089191,0.28458049886621317,10248,2646,4,-0.035637837239625214,-0.1443836986221213,0.1748467485356312,-0.9304742256364602,-0.10805138753216267,-0.08133759662942108,-0.30548933367191555,0.1912937768581069,-1.8823891612584132,-0.13795900674008013
18,2024-04-01,2025-03-31,2025-04-01,2025-06-30,0.5981177889286616,0.6183035714285714,0.6462053571428571,10206,2688,4,-0.005812449330355407,-0.024176413262326446,0.23038103954462938,-0.08706952876575458,-0.1167843020100944,0.018015218594725102,0.07784066919359711,0.3346523462524113,0.31291970786125145,-0.1376925910245585
19,2024-07-01,2025-06-30,2025-07-01,2025-09-30,0.5423393035793687,0.4967532467532468,0.7503607503607503,10164,2772,4,0.1069337770928076,0.5102899113447081,0.1134726722095212,3.407554061921507,-0.01574935918095013,0.08899746581296486,0.4134074533866514,0.11026094441771761,2.919465745175093,-0.01978368509694892
20,2024-10-01,2025-09-30,2025-10-01,2025-12-31,0.3910642322964598,0.41472868217054265,0.5326688815060908,10164,1806,4,0.08654406976953588,0.40052912623364856,0.16942818693146086,1.9262427365888046,-0.04773304457374308,0.027572667081874336,0.11670700382865196,0.12276803291689978,0.7839717782487066,-0.04613311480011308
