date,rate
1999-01-01,0.02
1999-01-04,0.0275
1999-01-22,0.02
1999-04-09,0.015
1999-11-05,0.02
2000-02-04,0.0225
2000-03-17,0.025
2000-04-28,0.0275
2000-06-09,0.0325
2000-06-28,0.0325
2000-09-01,0.035
2000-10-06,0.0375
2001-05-11,0.035
2001-08-31,0.0325
2001-09-18,0.0275
2001-11-09,0.0225
2002-12-06,0.0175
2003-03-07,0.015
2003-06-06,0.01
2005-12-06,0.0125
2006-03-08,0.015
2006-06-15,0.0175
2006-08-09,0.02
2006-10-11,0.0225
2006-12-13,0.025
2007-03-14,0.0275
2007-06-13,0.03
2008-07-09,0.0325
2008-10-08,0.0275
2008-10-09,0.0325
2008-10-15,0.0325
2008-11-12,0.0275
2008-12-10,0.02
2009-01-21,0.01
2009-03-11,0.005
2009-04-08,0.0025
2009-05-13,0.0025
2011-04-13,0.005
2011-07-13,0.0075
2011-11-09,0.005
2011-12-14,0.0025
2012-07-11,0.0
2013-05-08,0.0
2013-11-13,0.0
2014-06-11,-0.001
2014-09-10,-0.002
2015-12-09,-0.003
2016-03-16,-0.004
2019-09-18,-0.005
2022-07-27,0.0
2022-09-14,0.0075
2022-11-02,0.015
2022-12-21,0.02
2023-02-08,0.025
2023-03-22,0.03
2023-05-10,0.0325
2023-06-21,0.035
2023-08-02,0.0375
2023-09-20,0.04
2024-06-12,0.0375
2024-09-18,0.035
2024-10-23,0.0325
2024-12-18,0.03
2025-02-05,0.0275
2025-03-12,0.025
2025-04-23,0.0225
2025-06-11,0.02
